tconst,titleType,originalTitle,startYear,genres,averageRating,numVotes,m_rating,Streaming
tt0110632,movie,Natural Born Killers,1994.0,"Crime,Romance",7.2,259358.0,0.0,"Disney Plus,Apple TV"
tt0111070,movie,The Santa Clause,1994.0,"Comedy,Drama,Family",6.6,140549.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0111257,movie,Speed,1994.0,"Action,Adventure,Thriller",7.3,406718.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0111495,movie,Trois couleurs : Rouge,1994.0,"Drama,Mystery,Romance",8.1,113480.0,0.0,"MUBI,Apple TV"
tt0111503,movie,True Lies,1994.0,"Action,Comedy,Thriller",7.3,290578.0,0.0,"Apple TV,Apple TV"
tt0112384,movie,Apollo 13,1995.0,"Adventure,Drama,History",7.7,325268.0,0.0,"Apple TV,Apple TV"
tt0112431,movie,Babe,1995.0,"Comedy,Drama,Family",6.9,138227.0,0.0,"Apple TV,Apple TV"
tt0112697,movie,Clueless,1995.0,"Comedy,Romance",6.9,261080.0,0.0,"Apple TV,Apple TV"
tt0112740,movie,Crimson Tide,1995.0,"Action,Drama,Thriller",7.4,129716.0,0.0,Disney Plus
tt0112817,movie,Dead Man,1995.0,"Adventure,Drama,Western",7.5,105803.0,0.0,"MUBI,TV+"
tt0112851,movie,Desperado,1995.0,"Action,Crime,Drama",7.1,202736.0,0.0,"Apple TV,Apple TV"
tt0112864,movie,Die Hard with a Vengeance,1995.0,"Action,Adventure,Thriller",7.6,419317.0,0.0,Disney Plus
tt0113101,movie,Four Rooms,1995.0,Comedy,6.7,113858.0,0.0,ERROR:429
tt0113189,movie,GoldenEye,1995.0,"Action,Adventure,Thriller",7.2,276728.0,0.0,"Apple TV,Apple TV"
tt0113247,movie,La haine,1995.0,"Crime,Drama",8.1,210034.0,0.0,MUBI
tt0113568,movie,Kôkaku Kidôtai,1995.0,"Action,Animation,Crime",7.9,164252.0,0.0,"Apple TV,Apple TV"
tt0113749,movie,Mallrats,1995.0,"Comedy,Romance",7.0,131268.0,0.0,"Apple TV,Apple TV"
tt0114069,movie,Outbreak,1995.0,"Action,Drama,Thriller",6.6,141879.0,0.0,Apple TV
tt0114148,movie,Pocahontas,1995.0,"Adventure,Animation,Drama",6.7,209946.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0114388,movie,Sense and Sensibility,1995.0,"Drama,Romance",7.7,130931.0,0.0,"Apple TV,Apple TV"
tt0114694,movie,Tommy Boy,1995.0,"Adventure,Comedy",7.1,100910.0,0.0,"Apple TV,Apple TV"
tt0114924,movie,While You Were Sleeping,1995.0,"Comedy,Drama,Romance",6.8,119816.0,0.0,ERROR:429
tt0115685,movie,The Birdcage,1996.0,Comedy,7.2,107095.0,0.0,ERROR:429
tt0115963,movie,The Craft,1996.0,"Drama,Fantasy,Horror",6.5,114039.0,0.0,"Apple TV,Apple TV"
tt0116209,movie,The English Patient,1996.0,"Drama,Romance,War",7.4,208234.0,0.0,"Apple TV,Apple TV"
tt0116367,movie,From Dusk Till Dawn,1996.0,"Action,Crime,Horror",7.2,353335.0,0.0,"Apple TV,Apple TV"
tt0116483,movie,Happy Gilmore,1996.0,"Comedy,Sport",7.0,261580.0,0.0,"Apple TV,Apple TV"
tt0116583,movie,The Hunchback of Notre Dame,1996.0,"Animation,Drama,Family",7.0,177517.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0116629,movie,Independence Day,1996.0,"Action,Adventure,Sci-Fi",7.0,624928.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0116695,movie,Jerry Maguire,1996.0,"Comedy,Drama,Romance",7.3,297221.0,0.0,"Apple TV,Apple TV"
tt0116922,movie,Lost Highway,1997.0,"Drama,Mystery,Thriller",7.6,162188.0,0.0,MUBI
tt0117008,movie,Matilda,1996.0,"Comedy,Family,Fantasy",7.0,184574.0,0.0,Netflix
tt0117318,movie,The People vs. Larry Flynt,1996.0,"Biography,Drama",7.3,103150.0,0.0,TOD TV
tt0117500,movie,The Rock,1996.0,"Action,Adventure,Thriller",7.4,368692.0,0.0,"Disney Plus,TV+,Apple TV,Apple TV"
tt0117509,movie,Romeo + Juliet,1996.0,"Drama,Romance",6.7,251346.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0117571,movie,Scream,1996.0,"Horror,Mystery",7.4,415066.0,0.0,"Netflix,Apple TV,Apple TV"
tt0117665,movie,Sleepers,1996.0,"Crime,Drama,Thriller",7.5,244542.0,0.0,"Apple TV,Apple TV"
tt0117731,movie,Star Trek: First Contact,1996.0,"Action,Adventure,Drama",7.6,134725.0,0.0,"Apple TV,Apple TV"
tt0117998,movie,Twister,1996.0,"Action,Adventure,Thriller",6.6,243093.0,0.0,"blutv,Apple TV,Apple TV"
tt0118571,movie,Air Force One,1997.0,"Action,Crime,Drama",6.5,217308.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0118617,movie,Anastasia,1997.0,"Adventure,Animation,Drama",7.1,141228.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0118689,movie,Bean,1997.0,"Adventure,Comedy,Family",6.5,113531.0,0.0,"Apple TV,Apple TV"
tt0118749,movie,Boogie Nights,1997.0,Drama,7.9,290374.0,0.0,"Apple TV,Apple TV"
tt0118880,movie,Con Air,1997.0,"Action,Crime,Thriller",6.9,329216.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0118883,movie,Conspiracy Theory,1997.0,"Action,Drama,Mystery",6.7,110313.0,0.0,"Apple TV,Apple TV"
tt0118887,movie,Cop Land,1997.0,"Crime,Drama,Thriller",7.0,110797.0,0.0,"Apple TV,Apple TV"
tt0118971,movie,The Devil's Advocate,1997.0,"Drama,Fantasy,Mystery",7.5,420942.0,0.0,"Netflix,Apple TV"
tt0119008,movie,Donnie Brasco,1997.0,"Biography,Crime,Drama",7.7,343206.0,0.0,Netflix
